Fecha;Pais;Goles Totales;Jugador;;;;
14/06/2018;RUSSIA;5;Aleksandr Golovin;;;;
14/06/2018;RUSSIA;5;Artyom Dzyuba;;;;
14/06/2018;RUSSIA;5;Denis Cheryshev;;;;
14/06/2018;RUSSIA;5;Denis Cheryshev;;;;
14/06/2018;RUSSIA;5;Yuriy Gazinskiy;;;;
15/06/2018;IRAN;1;Aziz Bouhaddouz;;;;
15/06/2018;PORTUGAL;3;Cristiano Ronaldo Aveiro;;;;
15/06/2018;PORTUGAL;3;Cristiano Ronaldo Aveiro;;;;
15/06/2018;PORTUGAL;3;Cristiano Ronaldo Aveiro;;;;
15/06/2018;SPAIN;3;Diego Costa;;;;
15/06/2018;SPAIN;3;Diego Costa;;;;
15/06/2018;SPAIN;3;Nacho Fernández;;;;
15/06/2018;URUGUAY;1;José María Giménez;;;;
16/06/2018;ARGENTINA         ;1;Sergio Agüero;;;;
16/06/2018;AUSTRALIA         ;1;Mile Jedinak;;;;
16/06/2018;CROATIA;2;henekaro Etebo;;;;
16/06/2018;CROATIA;2;Luka Modrić;;;;
16/06/2018;DENMARK;1;Yussuf Yurary Poulsen;;;;
16/06/2018;FRANCE;2;Antoine Griezmann;;;;
16/06/2018;FRANCE;2;Aziz Behich;;;;
16/06/2018;ICELAND;1;Alfreð Finnbason;;;;
17/06/2018;BRAZIL;1;Philippe Coutinho Correia;;;;
17/06/2018;MEXICO;1;Hirving Lozano;;;;
17/06/2018;SERBIA;1;Aleksandar Kolarov;;;;
17/06/2018;SWITZERLAND       ;1;Steven Zuber;;;;
18/06/2018;BELGIUM;3;Dries Mertens;;;;
18/06/2018;BELGIUM;3;Romelu Lukaku;;;;
18/06/2018;BELGIUM;3;Romelu Lukaku;;;;
18/06/2018;ENGLAND;2;Harry Kane;;;;
18/06/2018;ENGLAND;2;Harry Kane;;;;
18/06/2018;SWEDEN;1;Andreas Granqvist;;;;
18/06/2018;TUNISIA;1;Ferjani Sassi;;;;
19/06/2018;COLOMBIA           ;1;Juan Fernando Quintero;;;;
19/06/2018;EGYPT;1;Mohammed Salah;;;;
19/06/2018;JAPAN;2;Shinji Kagawa;;;;
19/06/2018;JAPAN;2;Yūya Ōsako;;;;
19/06/2018;POLAND;1;Grzegorz Krychowiak;;;;
19/06/2018;RUSSIA;3;Ahmed Fathy;;;;
19/06/2018;RUSSIA;3;Artyom Dzyuba;;;;
19/06/2018;RUSSIA;3;Denis Cheryshev;;;;
19/06/2018;SENEGAL;2;MBaye Niang;;;;
19/06/2018;SENEGAL;2;Thiago Cionek;;;;
20/06/2018;PORTUGAL;1;Cristiano Ronaldo Aveiro;;;;
20/06/2018;SPAIN;1;Diego Costa;;;;
20/06/2018;URUGUAY;1;Luis Suárez;;;;
21/06/2018;AUSTRALIA           ;1;Mile Jedinak;;;;
21/06/2018;CROATIA;3;Ante Rebić;;;;
21/06/2018;CROATIA;3;Ivan Rakitić;;;;
21/06/2018;CROATIA;3;Luka Modrić;;;;
21/06/2018;DENMARK;1;Christian Eriksen;;;;
21/06/2018;FRANCE;1;Kylian Mbappé;;;;
22/06/2018;BRAZIL;2;Neymar Santos Júnior;;;;
22/06/2018;BRAZIL;2;Philippe Coutinho Correia;;;;
22/06/2018;NIGERIA;2;Ahmed Musa;;;;
22/06/2018;NIGERIA;2;Ahmed Musa;;;;
22/06/2018;SERBIA;1;Aleksandar Mitrović;;;;
22/06/2018;SWITZERLAND        ;2;Granit Xhaka;;;;
22/06/2018;SWITZERLAND        ;2;Xherdan Shaqiri;;;;
23/06/2018;BELGIUM;5;Eden Hazard;;;;
23/06/2018;BELGIUM;5;Eden Hazard;;;;
23/06/2018;BELGIUM;5;Michy Batshuayi;;;;
23/06/2018;BELGIUM;5;Romelu Lukaku;;;;
23/06/2018;BELGIUM;5;Romelu Lukaku;;;;
23/06/2018;GERMANY;2;Marco Reus;;;;
23/06/2018;GERMANY;2;Toni Kroos;;;;
23/06/2018;MEXICO;2;Carlos Vela;;;;
23/06/2018;MEXICO;2;Javier Hernández;;;;
23/06/2018;SOUTH KOREA         ;1;Son Heung-Min;;;;
23/06/2018;SWEDEN;1;Ola Toivonen;;;;
23/06/2018;TUNISIA;2;Dylan Bronn;;;;
23/06/2018;TUNISIA;2;Wahbi Khazri;;;;
24/06/2018;COLOMBIA            ;3;Juan Guillermo Cuadrado;;;;
24/06/2018;COLOMBIA            ;3;Radamel Falcao García;;;;
24/06/2018;COLOMBIA            ;3;Yerry Mina;;;;
24/06/2018;ENGLAND;6;Harry Kane;;;;
24/06/2018;ENGLAND;6;Harry Kane;;;;
